44,15,60,85,10
103,16,106,119,161
1,112,37,7,83
67,420,119,40,21
67,58,26,15,54
15,6,62,84,41
26,126,115,6,10
38,127,18,80,20
99,11,45,59,32
89,2,69,81,240
45,59,19,86,54
99,12,222,6,81
22,99,13,37,62
1,89,24,115,39
89,59,115,92,20
122,26,18,429,43
110,6,91,96,86
157,37,17,7,10
101,4,104,9,40
44,22,267,203,40
99,222,201,91,74
38,238,61,51,10
1,24,13,75,86
154,44,101,106,40
1,67,420,58,7
498,202,7,106,41
67,1,420,7,40
44,23,420,106,238
78,202,5,17,86
44,1,58,4,17
11,15,37,38,85
110,134,81,9,63
58,15,236,96,64
11,122,25,81,43
22,24,17,81,20
58,25,15,7,72
11,4,202,17,31
89,45,222,81,30
26,412,107,164,54
17,28,90,161,53
56,23,134,58,19
121,143,45,13,412
99,110,126,161,20
22,11,38,17,28
55,67,420,79,7
67,17,7,19,32
121,157,37,38,29
44,45,16,5,238
23,45,79,69,202
34,67,13,25,202
55,79,69,106,98
134,106,85,42,32
78,57,79,420,38
420,202,115,238,9
122,420,7,107,32
22,420,203,38,106
17,19,81,53,10
67,202,106,80,86
45,36,236,31,76
45,25,5,8,21
67,79,14,15,127
24,104,106,61,20
99,45,78,51,30
58,4,81,9,240
35,26,16,76,131
11,13,420,62,10
111,112,106,51,86
77,122,157,105,10
45,67,17,41,10
67,134,38,81,53
4,15,119,50,131
101,25,26,236,41
202,38,19,62,20
114,27,236,17,31
110,7,31,53,10
23,3,113,5,17
44,1,57,27,106
57,58,103,203,86
22,44,15,27,106
420,25,106,238,131
254,268,38,427,10
67,25,58,21,54
24,37,115,117,40
69,202,29,41,240
34,79,69,15,106
57,27,38,42,10
22,143,67,2,18
78,45,79,17,18
203,17,119,86,32
99,13,24,267,117
22,55,79,58,161
1,16,17,84,21
15,38,72,40,131
22,110,420,268,26
22,420,79,106,41
79,14,28,7,40
22,78,13,58,32
22,12,420,38,7
154,79,58,19,31
45,67,202,38,92
15,38,127,7,18
420,136,202,86,43
35,58,27,19,10
143,35,24,7,21
56,24,103,38,7
55,44,102,150,84
25,157,202,38,54
143,268,37,51,86
44,55,202,240,21
67,420,498,40,43
55,420,412,40,86
79,37,5,18,40
267,26,28,39,10
89,2,81,86,10
136,117,429,84,98
89,432,17,43,10
12,103,7,76,21
89,92,41,98,21
67,24,57,113,75
110,68,38,9,62
420,79,58,202,17
44,77,1,53,86
420,25,15,5,106
67,56,58,80,76
99,79,4,86,20
22,79,58,113,32
101,222,58,50,20
112,497,40,86,64
55,23,17,106,54
45,15,114,16,54
33,79,112,18,76
110,35,7,30,63
11,44,67,57,245
99,202,9,40,86
498,202,38,18,8
78,202,5,16,38
78,12,222,106,86
99,420,222,17,163
19,9,75,54,21
57,29,19,9,74
1,102,38,54,10
11,58,15,202,92
99,222,112,429,10
44,45,112,35,81
44,82,429,96,20
122,27,127,90,19
11,112,8,75,76
45,9,51,75,32
110,45,79,16,38
99,133,5,17,7
38,236,96,32,43
1,17,28,30,10
23,222,79,58,105
67,420,134,202,15
16,61,31,32,54
44,133,34,36,75
11,67,266,4,76
24,4,38,20,86
67,420,2,7,19
112,24,420,202,40
58,202,17,7,81
89,68,112,245,85
55,67,236,39,18
11,45,26,236,8
22,45,92,54,43
33,79,432,59,30
121,136,106,161,41
55,267,27,412,81
44,114,38,106,76
143,110,127,8,62
161,85,240,53,54
99,420,114,29,51
44,67,104,16,62
22,25,202,7,40
79,202,15,17,106
34,36,16,17,7
78,420,202,16,53
154,11,498,202,4
121,157,59,202,107
77,44,34,105,92
110,44,67,38,117
110,104,18,80,21
67,78,115,161,62
55,45,202,38,96
22,223,91,163,53
22,44,105,31,64
99,79,238,7,120
4,48,51,32,164
89,79,13,15,9
55,35,412,17,21
55,412,17,61,42
114,4,38,64,53
99,57,18,31,120
35,58,4,37,96
22,57,15,37,16
143,102,15,106,62
58,17,60,40,10
67,35,79,37,10
67,223,202,40,53
23,24,15,38,7
420,79,421,7,61
11,89,13,7,41
79,58,4,82,60
12,420,58,69,63
44,5,38,9,51
67,13,38,28,32
67,2,79,202,38
44,67,79,202,86
22,23,420,222,268
106,18,86,20,32
22,12,58,106,9
33,67,1,74,64
78,5,7,40,86
44,22,45,79,21
79,38,40,86,10
1,420,202,106,40
110,44,1,27,106
67,58,16,106,54
45,79,104,40,86
78,23,202,40,31
45,1,25,40,86
110,44,5,105,7
420,202,38,115,40
11,79,25,38,106
34,202,38,86,10
55,44,1,15,7
11,45,23,498,40
202,38,106,7,40
44,11,420,7,92
222,38,18,106,54
22,67,134,13,31
22,67,58,202,18
77,25,15,19,32
67,420,15,236,10
79,15,17,72,54
110,15,104,7,92
55,11,79,7,86
25,58,202,106,86
44,420,202,40,86
79,58,17,7,86
79,202,5,17,106
67,79,7,40,53
99,44,498,40,86
1,420,498,58,202
11,99,67,202,16
79,58,106,32,76
11,89,68,27,6
22,1,115,40,10
154,3,115,18,19
