79,202,7,429,32
1,34,37,19,53
79,13,58,92,131
202,16,91,20,64
44,202,16,115,19
45,78,57,81,20
22,57,18,62,20
13,25,4,7,164
22,44,67,106,90
23,268,80,62,10
11,37,115,50,62
11,57,105,17,92
1,2,115,54,120
2,37,5,6,81
57,36,15,16,62
79,157,19,84,10
122,45,18,64,10
110,1,101,222,41
143,45,58,37,236
3,157,53,32,10
420,157,15,38,51
12,420,202,26,91
44,58,38,39,120
27,38,7,161,120
22,13,38,106,40
58,17,62,75,76
45,58,17,106,75
67,58,119,51,53
22,26,117,81,40
99,13,20,164,32
55,58,17,31,10
101,24,96,10,76
44,4,7,51,40
154,75,31,76,10
79,58,114,26,126
89,56,36,80,163
67,7,40,51,76
133,104,105,127,51
57,69,5,117,63
34,24,80,51,42
143,202,127,53,54
12,25,48,107,92
245,61,50,240,54
134,24,58,202,26
122,38,126,106,41
420,58,18,40,98
110,45,58,15,4
79,36,104,60,429
143,113,26,18,60
15,16,18,96,74
154,67,58,38,7
154,12,37,236,53
67,7,106,53,43
33,12,4,40,240
104,106,80,31,10
44,5,19,84,40
44,67,37,106,43
24,27,18,19,84
78,79,245,103,30
254,101,497,84,74
2,13,58,81,21
420,245,432,62,10
203,236,28,90,43
35,202,105,19,40
22,13,245,202,20
202,38,81,75,86
420,38,7,238,8
268,27,104,238,51
122,13,106,63,76
78,236,238,161,21
44,420,134,83,63
77,126,127,29,9
110,35,4,90,10
22,67,69,127,85
45,222,69,18,86
99,104,18,238,10
12,67,58,7,19
36,102,202,236,240
67,79,20,10,43
79,36,202,16,29
55,22,67,420,9
44,99,5,38,91
13,7,92,50,86
99,121,25,74,20
58,17,105,19,429
67,36,16,18,62
11,12,27,16,92
58,15,236,86,43
55,101,223,85,53
11,1,79,17,10
11,45,38,5,28
56,58,3,7,106
44,13,9,21,32
45,58,80,40,76
44,58,26,7,86
24,202,38,106,150
1,34,79,223,7
67,58,15,5,19
12,67,202,40,86
22,37,40,53,86
202,4,126,40,96
44,35,3,7,131
11,99,202,17,98
154,14,25,238,50
22,1,9,51,84
67,13,25,38,40
44,102,58,17,53
22,44,110,115,238
11,67,420,40,84
497,58,6,106,21
13,58,5,20,75
223,104,38,7,10
57,2,432,37,30
420,26,15,37,21
89,222,19,63,43
22,13,19,81,21
57,245,28,50,64
134,58,113,63,10
